THE SHAWSHANK REDEMPTION,Prison Drama - 1994
AMERICAN BEAUTY,Drama - 1999
SCHINDLERS LIST,War Drama - 1993
THE USUAL SUSPECTS,Crime Thriller - 1995
THE MATRIX,Sci-Fi Action - 1999
FIGHT CLUB,Drama Thriller - 1999
PULP FICTION,Crime Thriller - 1994
THE SIXTH SENSE,Thriller Drama - 1999
GOODFELLAS,Crime Drama - 1990
BEING JOHN MALKOVICH,Comedy Fantasy - 1999
AMERICAN HISTORY X,Drama - 1998
LA CONFIDENTIAL,Crime Drama - 1997
BRAVEHEART,War Drama - 1995
RESERVOIR DOGS,Crime Thriller - 1992
FARGO,Crime Thriller - 1996
RAIDERS OF THE LOST ARK,Action Adventure - 1981
BLADE RUNNER,Sci-Fi Action - 1982
AMADEUS,Drama - 1984
FULL METAL JACKET,War Drama - 1987
THE SHINING,Horror - 1980
PLATOON,Action War Drama - 1986
THIS IS SPINAL TAP,Comedy - 1984
STAND BY ME,Drama Adventure - 1986
DIE HARD,Action Thriller - 1988
RAIN MAN,Drama - 1988
THE TERMINATOR,Sci-Fi Action - 1984
BACK TO THE FUTURE,Sci-Fi Adventure - 1985
DEAD POETS SOCIETY,Drama - 1989
THE GODFATHER,Crime Drama - 1972
TAXI DRIVER,Crime Drama - 1976
CHINATOWN,Crime Mystery - 1974
APOCALYPSE NOW,Action Drama - 1979
ANNIE HALL,Romantic Comedy - 1977
A CLOCKWORK ORANGE,Crime Drama - 1971
JAWS,Horror Thriller - 1975
THE EXORCIST,Horror Drama - 1973
SCREAM,Horror Comedy - 1996
SAVING PRIVATE RYAN,War Drama - 1998
THE GREAT ESCAPE,Prison Drama - 1963
GOOD WILL HUNTING,Drama - 1997
FROM DUSK TILL DAWN,Comedy Horror - 1996
CHICKEN RUN,Animation Comedy - 2000
TWELVE MONKEYS,Sci-Fi Drama - 1995
HIGH FIDELITY,Romantic Comedy - 2000
THE SILENCE OF THE LAMBS,Crime Thriller - 1991
THE WIZARD OF OZ,Fantasy Adventure - 1939
SOME LIKE IT HOT,Romantic Comedy - 1959
ALMOST FAMOUS,Comedy Drama - 2000
THE GREEN MILE,Prison Drama - 1999
GLADIATOR,Action Drama - 2000
THE IRON GIANT,Animation Sci-Fi - 1999
TOY STORY,Animation Comedy - 1995
FORREST GUMP,Drama Adventure - 1994
THE TRUMAN SHOW,Fantasy Drama - 1998
TRAINSPOTTING,Drama Comedy - 1996
THE FUGITIVE,Action Thriller - 1993
BEAUTY AND THE BEAST,Animation Musical - 1991
GROUNDHOG DAY,Fantasy Comedy - 1993
HOME ALONE,Family Comedy - 1990
CAST AWAY,Adventure Drama - 2000
MARY POPPINS,Musical Fantasy - 1964
JURASSIC PARK,Sci-Fi Horror - 1993
THE LION KING,Animation Adventure - 1994
STUART LITTLE,Fantasy Comedy - 1999
WAYNES WORLD,Comedy - 1992
THE ADDAMS FAMILY,Comedy - 1991
MANHATTAN,Comedy Drama - 1979
ALIEN,Horror Sci-Fi - 1979
YOUNG FRANKENSTEIN,Comedy - 1974
LIFE OF BRIAN,Comedy - 1979
LAWRENCE OF ARABIA,War Adventure - 1962
PSYCHO,Horror Thriller - 1960
TO KILL A MOCKING BIRD,Drama - 1962
THE GRADUATE,Romantic Drama - 1967
LOST IN SPACE,Sci-Fi Adventure - 1998
THE APARTMENT,Romantic Comedy - 1960
ANTZ,Animation Comedy - 1998
EXCALIBUR,Action Drama - 1981
HAPPY GILMORE,Comedy - 1996
CONTACT,Sci-Fi Drama - 1997
THE EMPERORS NEW GROOVE,Animation Comedy - 2000
TITANIC,Romantic Drama - 1997
ERIN BROCKOVICH,Drama - 2000
SNATCH,Crime Comedy - 2000
UNBREAKABLE,Drama Thriller - 2000
AMERICAN PIE,Comedy - 1999
THE BLAIR WITCH PROJECT,Horror Thriller - 1999
DEATH BECOMES HER,Comedy Fantasy - 1992
ENTRAPMENT,Action Thriller - 1999
